Surge (m),Sway (m),Heave (m),Roll (deg),Pitch (deg),Yaw (deg),Vessel x0Acc rel. g (m/s^2),Vessel y0Acc rel. g (m/s^2),Vessel z0Acc rel. g (m/s^2),Vessel x0Ang Vel (deg/s),Vessel y0Ang Vel (deg/s),Vessel z0Ang Vel (deg/s),Num Category
0.02359812,0.055895195,27.25808262,0.499327489,0.046831365,0.011441287,0.004274136,0.102567477,9.870305394,0.021593208,0.026928541,0.007307216,2
0.024666721,0.057135655,27.22503897,0.496100172,0.032736476,0.007766761,0.000386748,0.085133584,9.859982054,0.034465815,0.028638893,0.007483517,2
0.024433806,0.058303789,27.20537131,0.465291536,0.018783012,0.004560028,0.003029596,0.062139911,9.847389516,0.088009756,0.026486958,0.005490628,2
0.022642279,0.054979351,27.1959361,0.409192898,0.006723448,0.002807663,0.005799711,0.033915332,9.835075623,0.13502014,0.021281292,0.001595481,2
0.019131523,0.042730617,27.19369879,0.331937936,0.002204702,0.00333946,0.007195287,0.008865944,9.82684876,0.172141858,0.014275529,0.003599145,2
0.013937502,0.018652921,27.19660726,0.239107954,0.007495199,0.006494262,0.007054328,0.010273197,9.824220713,0.197081133,0.007030302,0.008833172,2
0.007315347,0.018076221,27.20399979,0.137013848,0.00939366,0.01206805,0.005693608,0.022747049,9.827307761,0.209222128,0.000923637,0.013230595,2
0.000305636,0.066078621,27.21666759,0.031932598,0.008779224,0.019415591,0.003060831,0.023099592,9.836230287,0.209226957,0.002880415,0.01574737,2
0.008304359,0.121043344,27.23679168,0.070468449,0.007018319,0.027325369,0.000171256,0.01434967,9.848223136,0.198888452,0.00365601,0.015382755,2
0.015959084,0.176452105,27.26730957,0.165653232,0.005655791,0.03428094,0.003335857,0.001004291,9.86020595,0.180797575,0.001376004,0.011915029,2
0.022543553,0.224411136,27.31113788,0.250383689,0.006104282,0.038714786,0.006047265,0.02107007,9.869088374,0.157448187,0.003457487,0.005333142,2
0.027376662,0.25640647,27.37037785,0.322566169,0.009389143,0.039148737,0.007704515,0.03940621,9.871087649,0.130889997,0.009816215,0.003888013,2
0.029915791,0.264895553,27.44541715,0.380967782,0.015908725,0.034513773,0.007814454,0.048726927,9.863074975,0.102486368,0.016256314,0.014598542,2
0.029870379,0.245271008,27.53415848,0.424878294,0.025270381,0.024537041,0.005792433,0.039989853,9.842787451,0.072995139,0.021057071,0.024731451,2
0.027333573,0.197788223,27.63157414,0.453800863,0.03624013,0.010131079,0.002142103,0.016156388,9.812361322,0.042437039,0.022645324,0.031946496,2
0.022727783,0.127086947,27.73017821,0.467026244,0.046986762,0.00690582,0.00216001,0.017121356,9.775716265,0.010052602,0.020194125,0.035142417,2
0.016673967,0.041034869,27.820941,0.463486712,0.055437587,0.024373563,0.006793018,0.059982869,9.736384992,0.024666908,0.013493288,0.03362172,2
0.009961449,0.049667903,27.89426482,0.44199208,0.059583922,0.039803945,0.010694701,0.102233971,9.700903553,0.061746244,0.003063102,0.027235668,2
0.003393233,0.133629652,27.94147801,0.401451199,0.057897539,0.050999485,0.013076165,0.136493767,9.674711753,0.100670272,0.00972546,0.017084306,2
0.002350606,0.200631946,27.95617455,0.341274697,0.049642415,0.056420784,0.013590573,0.157087469,9.661981912,0.139963916,0.023076918,0.004570124,2
0.006797907,0.243193577,27.93526368,0.261758996,0.035052301,0.055404527,0.011649813,0.155017416,9.666116838,0.177647377,0.034864744,0.008147684,2
0.009808688,0.25840857,27.8797096,0.164317423,0.0154084,0.048484271,0.007744747,0.132742342,9.685954237,0.211181792,0.043096172,0.01875619,2
0.011530263,0.247709813,27.79434988,0.051776499,0.007168444,0.037139777,0.002521424,0.093047261,9.718728945,0.237559822,0.046409941,0.025754649,2
0.012310747,0.216117597,27.68720084,0.071532404,0.03004778,0.023456807,0.00305623,0.043868216,9.75917328,0.253769035,0.044195943,0.028257313,2
0.012553283,0.170411015,27.56818814,0.19975011,0.050545621,0.009573321,0.007593595,0.002684081,9.800686542,0.256741902,0.036920287,0.026970216,2
0.012521452,0.116785305,27.4476218,0.325639327,0.066405087,0.002982286,0.010866218,0.046113815,9.83956437,0.244202582,0.025764651,0.023212111,2
0.012340552,0.060537801,27.33515819,0.441127901,0.076043958,0.013273238,0.012408176,0.080302379,9.87142046,0.21502428,0.012287323,0.018117504,2
0.01197014,0.005184931,27.23877012,0.537825744,0.078754749,0.021063545,0.012102577,0.103748294,9.894244473,0.169160027,0.001641812,0.013260225,2
0.011231817,0.047403295,27.16424827,0.607762665,0.074705734,0.02667075,0.010864071,0.123475532,9.909007048,0.10841025,0.014503568,0.00908494,2
0.009974499,0.095514941,27.11530055,0.64424468,0.064726148,0.030405934,0.008504161,0.132836977,9.914629919,0.035903056,0.025112918,0.005581269,2
